iter	Passed	Remaining
0	132	132274
1	133	66646
2	134	44733
3	135	33690
4	136	27075
5	136	22666
6	137	19520
7	138	17156
8	139	15332
9	140	13890
10	141	12691
11	141	11682
12	145	11053
13	146	10345
14	148	9729
15	149	9174
16	149	8670
17	151	8252
18	152	7870
19	153	7508
20	154	7179
21	154	6883
22	155	6622
23	157	6388
24	158	6165
25	159	5974
26	160	5787
27	161	5607
28	162	5437
29	163	5283
30	164	5149
31	166	5024
32	167	4910
33	169	4819
34	171	4721
35	173	4643
36	175	4557
37	175	4455
38	176	4357
39	177	4260
40	178	4170
41	179	4097
42	180	4019
43	182	3956
44	183	3887
45	184	3817
46	185	3754
47	189	3749
48	189	3686
49	191	3629
50	192	3575
51	193	3519
52	193	3463
53	194	3416
54	195	3365
55	196	3315
56	197	3269
57	198	3223
58	199	3185
59	201	3153
60	202	3122
61	203	3084
62	204	3043
63	205	3004
64	206	2967
65	207	2932
66	208	2901
67	209	2869
68	210	2846
69	211	2815
70	212	2785
71	213	2756
72	214	2724
73	215	2693
74	217	2688
75	219	2663
76	219	2636
77	220	2610
78	222	2589
79	223	2569
80	224	2548
81	226	2537
82	227	2512
83	228	2490
84	229	2467
85	233	2479
86	234	2460
87	235	2440
88	236	2421
89	237	2403
90	238	2383
91	239	2364
92	240	2344
93	241	2325
94	242	2307
95	243	2290
96	245	2281
97	246	2268
98	247	2250
99	248	2232
100	248	2215
101	250	2202
102	251	2186
103	252	2172
104	253	2159
105	254	2146
106	255	2131
107	256	2119
108	260	2126
109	261	2118
110	262	2105
111	264	2099
112	266	2088
113	266	2074
114	267	2062
115	268	2049
116	269	2034
117	270	2021
118	271	2008
119	273	2002
120	274	1995
121	275	1983
122	277	1976
123	277	1963
124	278	1952
125	279	1939
126	280	1926
127	281	1915
128	282	1904
129	282	1893
130	283	1882
131	284	1870
132	285	1860
133	286	1849
134	287	1844
135	289	1837
136	290	1828
137	291	1819
138	292	1814
139	294	1806
140	295	1797
141	295	1785
142	296	1776
143	297	1767
144	298	1757
145	298	1748
146	299	1740
147	300	1731
148	302	1727
149	303	1721
150	304	1712
151	305	1703
152	306	1696
153	307	1687
154	308	1679
155	309	1671
156	309	1663
157	311	1657
158	312	1653
159	313	1645
160	313	1636
161	314	1628
162	315	1621
163	317	1617
164	318	1610
165	319	1603
166	320	1597
167	321	1591
168	322	1584
169	323	1577
170	323	1570
171	324	1563
172	325	1556
173	326	1549
174	327	1542
175	327	1535
176	329	1530
177	330	1523
178	331	1520
179	332	1515
180	333	1509
181	334	1504
182	335	1499
183	336	1493
184	337	1488
185	338	1482
186	339	1475
187	340	1469
188	341	1464
189	342	1458
190	342	1452
191	343	1447
192	344	1442
193	347	1444
194	351	1453
195	355	1458
196	357	1456
197	358	1451
198	366	1475
199	367	1471
200	368	1466
201	369	1460
202	370	1454
203	371	1448
204	371	1442
205	372	1437
206	373	1431
207	375	1428
208	376	1425
209	377	1421
210	379	1417
211	380	1413
212	381	1410
213	382	1405
214	383	1399
215	384	1396
216	385	1392
217	386	1388
218	387	1382
219	388	1378
220	390	1375
221	391	1370
222	392	1365
223	392	1360
224	393	1355
225	394	1350
226	395	1346
227	396	1341
228	397	1336
229	397	1332
230	398	1327
231	399	1323
232	400	1319
233	401	1315
234	402	1310
235	403	1306
236	405	1305
237	406	1300
238	407	1296
239	407	1291
240	408	1287
241	409	1283
242	410	1278
243	411	1274
244	412	1270
245	413	1266
246	414	1262
247	415	1258
